code,name,city,country,lat,lon
YSC,Sherbrooke,Sherbrooke,Canada,45.438611,-71.691389
YSJ,Saint John,St. John,Canada,45.316111,-65.890278
YSM,Fort Smith,Fort Smith,Canada,60.020278,-111.961944
YSR,Nanisivik,Nanisivik,Canada,72.982222,-84.613611
YSU,Summerside,Summerside,Canada,46.440556,-63.833611
YSY,Sachs Harbour,Sachs Harbour,Canada,71.993889,-125.2425
YTE,Cape Dorset,Cape Dorset,Canada,64.23,-76.526667
YTH,Thompson,Thompson,Canada,55.801111,-97.864166
YTR,Trenton,Trenton,Canada,44.118889,-77.528056
YTS,Timmins,Timmins,Canada,48.569721,-81.376667
YTZ,City Centre,Toronto,Canada,43.627499,-79.396167
YUB,Tuktoyaktuk,Tuktoyaktuk,Canada,69.433334,-133.026389
YUL,Pierre Elliott Trudeau Intl,Montreal,Canada,45.470556,-73.740833
YUT,Repulse Bay,Repulse Bay,Canada,66.521389,-86.224722
YUX,Hall Beach,Hall Beach,Canada,68.776111,-81.243611
YUY,Rouyn Noranda,Rouyn,Canada,48.206111,-78.835556
YVC,La Ronge,La Ronge,Canada,55.15139,-105.261944
YVG,Vermilion,Vermillion,Canada,53.355833,-110.82389
YVM,Qikiqtarjuaq,Broughton Island,Canada,67.545833,-64.031389
YVO,Val D Or,Val D'or,Canada,48.053333,-77.782778
YVP,Kuujjuaq,Quujjuaq,Canada,58.096111,-68.426944
YVQ,Norman Wells,Norman Wells,Canada,65.281617,-126.798219
YVR,Vancouver Intl,Vancouver,Canada,49.193889,-123.184444
YVT,Buffalo Narrows,Buffalo Narrows,Canada,55.841944,-108.4175
YVV,Wiarton,Wiarton,Canada,44.745834,-81.107222
YWA,Petawawa,Petawawa,Canada,45.952221,-77.319168
YWG,Winnipeg Intl,Winnipeg,Canada,49.910036,-97.239886
YWK,Wabush,Wabush,Canada,52.921944,-66.864444
YWL,Williams Lake,Williams Lake,Canada,52.183056,-122.054167
YWY,Wrigley,Wrigley,Canada,63.209444,-123.436667
YXC,Canadian Rockies Intl,Cranbrook,Canada,49.612222,-115.781944
YXD,Edmonton City Centre,Edmonton,Canada,53.5725,-113.520556
YXE,Saskatoon J G Diefenbaker Intl,Saskatoon,Canada,52.170834,-106.699722
YXH,Medicine Hat,Medicine Hat,Canada,50.01889,-110.720833
YXJ,Fort St John,Fort Saint John,Canada,56.238056,-120.740278
YXL,Sioux Lookout,Sioux Lookout,Canada,50.113889,-91.905278
YXP,Pangnirtung,Pangnirtung,Canada,66.145,-65.713611
YXR,Timiskaming Rgnl,Earlton,Canada,47.695,-79.848889
YXS,Prince George,Prince George,Canada,53.889444,-122.678889
YXT,Terrace,Terrace,Canada,54.468508,-128.576219
YXU,London,London,Canada,43.033056,-81.151111
YXX,Abbotsford,Abbotsford,Canada,49.025278,-122.360556
YXY,Whitehorse Intl,Whitehorse,Canada,60.709553,-135.067269
YYB,North Bay,North Bay,Canada,46.363611,-79.422778
YYC,Calgary Intl,Calgary,Canada,51.113888,-114.020278
YYD,Smithers,Smithers,Canada,54.824722,-127.182778
YYE,Fort Nelson,Fort Nelson,Canada,58.836389,-122.596944
YYF,Penticton,Penticton,Canada,49.463056,-119.602222
YYG,Charlottetown,Charlottetown,Canada,46.290001,-63.121111
YYH,Taloyoak,Spence Bay,Canada,69.546667,-93.576667
YYJ,Victoria Intl,Victoria,Canada,48.646944,-123.425833
YYL,Lynn Lake,Lynn Lake,Canada,56.863888,-101.07611
YYN,Swift Current,Swift Current,Canada,50.291944,-107.690556
YYQ,Churchill,Churchill,Canada,58.739167,-94.065
YYR,Goose Bay,Goose Bay,Canada,53.319168,-60.425833
YYT,St Johns Intl,St. John's,Canada,47.61861,-52.751945
YYU,Kapuskasing,Kapuskasing,Canada,49.413889,-82.4675
YYW,Armstrong,Armstrong,Canada,50.290279,-88.909721
YYY,Mont Joli,Mont Joli,Canada,48.608612,-68.208056
YYZ,Lester B Pearson Intl,Toronto,Canada,43.677223,-79.630556
YZD,Downsview,Toronto,Canada,43.7425,-79.465556
YZE,Gore Bay Manitoulin,Gore Bay,Canada,45.885277,-82.567778
YZF,Yellowknife,Yellowknife,Canada,62.462778,-114.440278
YZH,Slave Lake,Slave Lake,Canada,55.293056,-114.777222
YZP,Sandspit,Sandspit,Canada,53.254333,-131.813833
YZR,Chris Hadfield,Sarnia,Canada,42.999444,-82.308889
YZT,Port Hardy,Port Hardy,Canada,50.680556,-127.366667
YZU,Whitecourt,Whitecourt,Canada,54.14389,-115.786667
YZV,Sept Iles,Sept-iles,Canada,50.223333,-66.265556
YZW,Teslin,Teslin,Canada,60.172779,-132.742778
YZX,Greenwood,Greenwood,Canada,44.984444,-64.916944
ZFA,Faro,Faro,Canada,62.2075,-133.375833
ZFM,Fort Mcpherson,Fort Mcpherson,Canada,67.4075,-134.860556
,Blida,Blida,Algeria,36.503613,2.814167
,Bou Saada,Bou Saada,Algeria,35.3325,4.206389
BJA,Soummam,Bejaja,Algeria,36.711997,5.069922
ALG,Houari Boumediene,Algier,Algeria,36.691014,3.215408
DJG,Tiska,Djanet,Algeria,24.292767,9.452444
QFD,Boufarik,Boufarik,Algeria,36.545834,2.876111
,Reggane,Reggan,Algeria,26.710103,0.285647
VVZ,Illizi Takhamalt,Illizi,Algeria,26.723536,8.622653
,Ain Oussera,Ain Oussera,Algeria,35.525414,2.878714
TMR,Tamanrasset,Tamanrasset,Algeria,22.811461,5.451075
GJL,Jijel,Jijel,Algeria,36.795136,5.873608
,Mecheria,Mecheria,Algeria,33.535853,-0.242353
,Relizane,Relizane,Algeria,35.752239,0.626272
AAE,Annaba,Annaba,Algeria,36.822225,7.809167
CZL,Mohamed Boudiaf Intl,Constantine,Algeria,36.276028,6.620386
TEE,Cheikh Larbi Tebessi,Tebessa,Algeria,35.431611,8.120717
HRM,Hassi R Mel,Tilrempt,Algeria,32.930431,3.311542
TID,Bou Chekif,Tiaret,Algeria,35.341136,1.463147
,Bou Sfer,Bou Sfer,Algeria,35.735389,-0.805389
TIN,Tindouf,Tindouf,Algeria,27.700372,-8.167103
QAS,Ech Cheliff,Ech-cheliff,Algeria,36.212658,1.331775
TAF,Tafaraoui,Oran,Algeria,35.542444,-0.532278
TLM,Zenata,Tlemcen,Algeria,35.016667,-1.45
ORN,Es Senia,Oran,Algeria,35.623858,-0.621183
,Sidi Bel Abbes,Sidi Bel Abbes,Algeria,35.171775,-0.593275
MUW,Ghriss,Ghriss,Algeria,35.207725,0.147142
AZR,Touat Cheikh Sidi Mohamed Belkebir,Adrar,Algeria,27.837589,-0.186414
BSK,Biskra,Biskra,Algeria,34.793289,5.738231
ELG,El Golea,El Golea,Algeria,30.571294,2.859586
GHA,Noumerat,Ghardaia,Algeria,32.384106,3.794114
HME,Oued Irara,Hassi Messaoud,Algeria,31.672972,6.140444
INZ,In Salah,In Salah,Algeria,27.251022,2.512017
TGR,Sidi Mahdi,Touggourt,Algeria,33.067803,6.088672
LOO,Laghouat,Laghouat,Algeria,33.764383,2.928344
TMX,Timimoun,Timimoun,Algeria,29.237119,0.276033
OGX,Ouargla,Ouargla,Algeria,31.917223,5.412778
IAM,In Amenas,Zarzaitine,Algeria,28.05155,9.642911
COO,Cadjehoun,Cotonou,Benin,6.357228,2.384353
OUA,Ouagadougou,Ouagadougou,Burkina Faso,12.353194,-1.512417
BOY,Bobo Dioulasso,Bobo-dioulasso,Burkina Faso,11.160056,-4.330969
ACC,Kotoka Intl,Accra,Ghana,5.605186,-0.166786
TML,Tamale,Tamale,Ghana,9.557192,-0.863214
,Wa,Wa,Ghana,10.082664,-2.507694
NYI,Sunyani,Sunyani,Ghana,7.361828,-2.328756
TKD,Takoradi,Takoradi,Ghana,4.896056,-1.774756
ABJ,Abidjan Felix Houphouet Boigny Intl,Abidjan,Cote d'Ivoire,5.261386,-3.926294
BYK,Bouake,Bouake,Cote d'Ivoire,7.7388,-5.073667
DJO,Daloa,Daloa,Cote d'Ivoire,6.792808,-6.473189
HGO,Korhogo,Korhogo,Cote d'Ivoire,9.387183,-5.556664
MJC,Man,Man,Cote d'Ivoire,7.272069,-7.587364
SPY,San Pedro,San Pedro,Cote d'Ivoire,4.746717,-6.660817
ASK,Yamoussoukro,Yamoussoukro,Cote d'Ivoire,6.903167,-5.365581
ABV,Nnamdi Azikiwe Intl,Abuja,Nigeria,9.006792,7.263172
AKR,Akure,Akure,Nigeria,7.246739,5.301008
BNI,Benin,Benin,Nigeria,6.316981,5.599503
CBQ,Calabar,Calabar,Nigeria,4.976019,8.347197
ENU,Enugu,Enugu,Nigeria,6.474272,7.561961
QUS,Gusau,Gusau,Nigeria,12.171667,6.696111
IBA,Ibadan,Ibadan,Nigeria,7.362458,3.978333
ILR,Ilorin,Ilorin,Nigeria,8.440211,4.493919
JOS,Yakubu Gowon,Jos,Nigeria,9.639828,8.86905
KAD,Kaduna,Kaduna,Nigeria,10.696025,7.320114
KAN,Mallam Aminu Intl,Kano,Nigeria,12.047589,8.524622
MIU,Maiduguri,Maiduguri,Nigeria,11.855347,13.08095
MDI,Makurdi,Makurdi,Nigeria,7.703883,8.613939
LOS,Murtala Muhammed,Lagos,Nigeria,6.577369,3.321156
MXJ,Minna New,Minna,Nigeria,9.652172,6.462256
PHC,Port Harcourt Intl,Port Hartcourt,Nigeria,5.015494,6.949594
SKO,Sadiq Abubakar Iii Intl,Sokoto,Nigeria,12.916322,5.207189
YOL,Yola,Yola,Nigeria,9.257553,12.430422
ZAR,Zaria,Zaria,Nigeria,11.130192,7.685806
MFQ,Maradi,Maradi,Niger,13.502531,7.126753
NIM,Diori Hamani,Niamey,Niger,13.481547,2.183614
THZ,Tahoua,Tahoua,Niger,14.875658,5.265358
AJY,Manu Dayak,Agadez,Niger,16.965997,8.000114
,Dirkou,Dirkou,Niger,18.968703,12.86865
,Diffa,Diffa,Niger,13.372894,12.626686
ZND,Zinder,Zinder,Niger,13.778997,8.983761
MIR,Habib Bourguiba Intl,Monastir,Tunisia,35.758056,10.754722
TUN,Carthage,Tunis,Tunisia,36.851033,10.227217
,Sidi Ahmed Air Base,Bizerte,Tunisia,37.245447,9.791453
,Remada,Remada,Tunisia,32.306156,10.382108
GAF,Gafsa,Gafsa,Tunisia,34.422022,8.822503
GAE,Gabes,Gabes,Tunisia,33.876919,10.103333
