code_depart,code_arrive,passengers
DTW,SWF,2388
ELP,DFW,20738
PWM,JFK,6768
STL,MKE,3990
LAX,FLL,21586
LIM,SFO,2724
LAX,SAN,25169
FRA,LAS,2061
ATL,DAB,14986
ATL,CCS,4745
LGA,DCA,31811
MKE,PHX,14469
SLC,LWS,1841
BWI,SDF,6328
LGA,BUF,5439
MCO,BOG,9829
SFB,GFK,1359
ICT,LAS,5611
STL,YYZ,1064
MTJ,IAH,1894
OWB,SFB,1317
SEA,YVR,16302
PDX,SEA,39720
SCC,BRW,4389
CHS,MDW,1924
BOS,NRT,4516
LIH,SJC,2569
ATL,MCO,97352
IAD,EWR,7905
SLC,ATL,40625
YYC,LAX,10711
FAT,DFW,6176
MCO,PVD,18120
MTY,DFW,10630
MSP,LHR,4847
IAH,IND,6313
CLT,SXM,5107
TYS,FLL,1331
PIE,RFD,1687
PHL,CHO,1872
PDX,OAK,19753
ICT,MSP,3001
HLN,SLC,2952
SAN,SEA,23810
MNL,GUM,9318
IAH,LCH,2886
DEL,ORD,9181
LGB,SMF,6898
BMI,ATL,4301
AEX,DFW,2925
IAH,PHX,34651
DEN,SJC,15982
MIA,LGA,69795
MLB,CLT,3312
NRT,SPN,8844
PBI,JFK,16272
ORD,MTJ,1037
PVR,ATL,1186
LGA,CLT,51790
YVR,PHX,10636
GNV,ATL,8326
JFK,KIN,9096
SFO,SYD,10147
SFO,DXB,9631
IAH,BTR,6509
IAH,PTY,9615
PHL,YUL,5284
LAX,GRU,8704
ORD,PEK,13309
BRD,MSP,1518
IAD,CDG,13752
MRY,LAX,5108
SCE,IAD,1742
HNL,SFO,35187
OMA,DEN,27377
OGG,YYC,6687
TPA,PHL,21981
STI,MIA,4966
DEN,LNK,3017
MDW,ATL,28882
HNL,SAN,11720
AZA,SBN,1237
DFW,SJD,11261
MIA,POS,13186
FNT,MCO,3661
CPH,IAD,3179
PSP,YVR,4726
ATL,PVR,1061
ROC,ATL,10735
YYC,MSP,3641
MCO,LAX,28457
JAN,MDW,1474
ATL,VLD,2352
SBN,MSP,1097
IAH,BJX,5057
PDX,SLC,17344
DTW,PWM,3065
SLC,TUL,1183
PDX,SJC,21246
SHV,IAH,4196
MLU,IAH,1893
FAI,ANC,16681
EWR,GLA,3302
SAN,BWI,7866
SDF,MDW,8035
NAS,BWI,1818
HSV,DCA,3019
EWR,TLV,19915
MIA,LIM,28848
SIG,VQS,1045
PHL,ROC,6545
EGE,EWR,2268
SFO,ABQ,1099
MIA,EZE,35040
BOM,EWR,15212
WRG,PSG,1832
AUS,IAH,21223
ATL,VPS,10505
CMH,LGA,5923
MCO,MIA,46250
JFK,FRA,25552
EWR,BHX,3359
OKC,IAH,11328
PGD,MLI,1302
MSY,JFK,7892
ILM,CLT,13895
JFK,FLL,42249
HEL,JFK,6332
LAS,DTW,39675
DEN,FRA,5850
BHM,IAH,5577
ALB,ORD,4950
SAT,SAN,6653
ROC,JFK,9331
LAS,YVR,11097
DFW,CZM,4325
MAD,ATL,2958
GDL,OAK,7689
ORD,IST,7183
MAF,HOU,6473
SFB,GSO,1324
LAX,CLT,30755
IAH,CRP,7051
PIA,AZA,1634
DFW,LAX,92410
LAX,MLM,3452
BNA,TPA,9332
AXM,FLL,1220
HOU,PHX,14308
ROC,DTW,4671
TPE,LAX,40815
SEA,FAT,2119
SFO,MUC,7260
BOS,PUJ,1982
BWI,YYZ,1868
OGG,SJC,9931
